id;title;descr;author;genre;

1;The Hitchhiker's Guide to the Galaxy;A comedic science fiction series created by Douglas Adams.;Douglas Adams;Science Fiction
2;Nineteen Eighty-Four;A dystopian social science fiction novel and cautionary tale by English writer George Orwell.;George Orwell;Dystopian Fiction
3;Wuthering Heights;A novel by Emily Brontë published in 1847 under her pen name Ellis Bell.;Emily Brontë;Gothic Fiction
4;Jane Eyre;A novel by English writer Charlotte Bronte published under the pen name Currer Bell;Charlotte Bronte;Romance
5;Pride and Prejudice;A romantic novel of manners written by Jane Austen;Jane Austen;Romance
6;To Kill a Mockingbird;A novel by Harper Lee published in 1960, dealing with serious issues like racial inequality;Harper Lee;Fiction
7;The Great Gatsby;A novel by F. Scott Fitzgerald set in the Jazz Age;F. Scott Fitzgerald;Fiction
8;1984;A dystopian novel by George Orwell set in a totalitarian society;George Orwell;Dystopian Fiction
9;The Catcher in the Rye;A novel by J.D. Salinger about teenage alienation and loss of innocence;J.D. Salinger;Fiction
10;Lord of the Flies;A novel by William Golding about the dark side of human nature;William Golding;Fiction
11;The Brothers Karamazov;A philosophical novel by Fyodor Dostoevsky, exploring themes of faith, doubt, and morality;Fyodor Dostoevsky;Philosophical Fiction
12;One Hundred Years of Solitude;A magical realist novel by Gabriel García Márquez, telling the story of the Buendía family;Gabriel García Márquez;Magical Realism
